"schedtime","carrier","deptime","dest","distance","date","flightnumber","origin","weather","dayweek","daymonth","tailnu","delay","delay_cat","dep_hour"
1455,"DH",1454,"JFK",228,"38231",7808,"IAD",0,"Fri",9,"N308UE","ontime","On time",14
1645,"DH",1643,"JFK",228,"38231",7810,"IAD",0,"Fri",9,"N311UE","ontime","On time",16
1715,"DH",1710,"JFK",228,"38231",7812,"IAD",0,"Fri",9,"N333UE","ontime","On time",17
2120,"DH",2115,"JFK",228,"38231",7814,"IAD",0,"Fri",9,"N675BR","ontime","On time",21
1610,"DH",1617,"JFK",228,"38231",7816,"IAD",0,"Fri",9,"N309UE","ontime","On time",16
1455,"DL",1506,"JFK",213,"38231",746,"DCA",0,"Fri",9,"N951DL","ontime","On time",15
630,"DL",629,"LGA",214,"38231",1740,"DCA",0,"Fri",9,"N241DL","ontime","On time",6
730,"DL",730,"LGA",214,"38231",1742,"DCA",0,"Fri",9,"N224DA","delayed","On time",7
830,"DL",832,"LGA",214,"38231",1744,"DCA",0,"Fri",9,"N242DL","ontime","On time",8
930,"DL",930,"LGA",214,"38231",1746,"DCA",0,"Fri",9,"N225DL","ontime","On time",9
1030,"DL",1032,"LGA",214,"38231",1748,"DCA",0,"Fri",9,"N241DL","ontime","On time",10
1130,"DL",1131,"LGA",214,"38231",1750,"DCA",0,"Fri",9,"N224DA","ontime","On time",11
1230,"DL",1228,"LGA",214,"38231",1752,"DCA",0,"Fri",9,"N222DZ","ontime","On time",12
1330,"DL",1329,"LGA",214,"38231",1754,"DCA",0,"Fri",9,"N225DL","ontime","On time",13
1430,"DL",1432,"LGA",214,"38231",1756,"DCA",0,"Fri",9,"N241DL","ontime","On time",14
1530,"DL",1530,"LGA",214,"38231",1758,"DCA",0,"Fri",9,"N221DL","ontime","On time",15
1630,"DL",1633,"LGA",214,"38231",1760,"DCA",0,"Fri",9,"N222DZ","ontime","On time",16
1730,"DL",1735,"LGA",214,"38231",1762,"DCA",0,"Fri",9,"N225DL","ontime","On time",17
1830,"DL",1829,"LGA",214,"38231",1764,"DCA",0,"Fri",9,"N241DL","ontime","On time",18
1930,"DL",1931,"LGA",214,"38231",1766,"DCA",0,"Fri",9,"N221DL","ontime","On time",19
2030,"DL",2030,"LGA",214,"38231",1768,"DCA",0,"Fri",9,"N222DZ","ontime","On time",20
1530,"MQ",1535,"JFK",213,"38231",4752,"DCA",0,"Fri",9,"N708MQ","ontime","On time",15
600,"MQ",558,"JFK",213,"38231",4760,"DCA",0,"Fri",9,"N801MQ","ontime","On time",5
1830,"MQ",1851,"JFK",213,"38231",4784,"DCA",0,"Fri",9,"N736MQ","delayed","On time",18
800,"MQ",843,"LGA",214,"38231",4954,"DCA",0,"Fri",9,"N731MQ","delayed","On time",8
900,"MQ",851,"LGA",214,"38231",4956,"DCA",0,"Fri",9,"N715MQ","ontime","On time",8
1100,"MQ",1141,"LGA",214,"38231",4960,"DCA",0,"Fri",9,"N713MQ","delayed","On time",11
1300,"MQ",1252,"LGA",214,"38231",4964,"DCA",0,"Fri",9,"N715MQ","ontime","On time",12
1400,"MQ",1359,"LGA",214,"38231",4966,"DCA",0,"Fri",9,"N739MQ","ontime","On time",13
1500,"MQ",1503,"LGA",214,"38231",4968,"DCA",0,"Fri",9,"N712MQ","ontime","On time",15
1600,"MQ",1618,"LGA",214,"38231",4970,"DCA",0,"Fri",9,"N732MQ","delayed","On time",16
1700,"MQ",1658,"LGA",214,"38231",4972,"DCA",0,"Fri",9,"N707MQ","ontime","On time",16
1900,"MQ",1916,"LGA",214,"38231",4976,"DCA",0,"Fri",9,"N726MQ","delayed","On time",19
850,"UA",904,"LGA",229,"38231",846,"IAD",0,"Fri",9,"N520UA","delayed","On time",9
630,"US",629,"LGA",214,"38231",1479,"DCA",0,"Fri",9,"N733UW","ontime","On time",6
700,"US",657,"LGA",214,"38231",2160,"DCA",0,"Fri",9,"N724UW","ontime","On time",6
800,"US",756,"LGA",214,"38231",2162,"DCA",0,"Fri",9,"N738UW","ontime","On time",7
1000,"US",958,"LGA",214,"38231",2166,"DCA",0,"Fri",9,"N722UW","ontime","On time",9
1100,"US",1057,"LGA",214,"38231",2168,"DCA",0,"Fri",9,"N724UW","ontime","On time",10
1200,"US",1155,"LGA",214,"38231",2170,"DCA",0,"Fri",9,"N738UW","ontime","On time",11
1300,"US",1259,"LGA",214,"38231",2172,"DCA",0,"Fri",9,"N750UW","ontime","On time",12
1400,"US",1357,"LGA",214,"38231",2174,"DCA",0,"Fri",9,"N722UW","ontime","On time",13
1500,"US",1458,"LGA",214,"38231",2176,"DCA",0,"Fri",9,"N724UW","ontime","On time",14
1600,"US",1555,"LGA",214,"38231",2178,"DCA",0,"Fri",9,"N738UW","ontime","On time",15
1700,"US",1657,"LGA",214,"38231",2180,"DCA",0,"Fri",9,"N750UW","ontime","On time",16
1800,"US",1757,"LGA",214,"38231",2182,"DCA",0,"Fri",9,"N722UW","ontime","On time",17
1900,"US",1902,"LGA",214,"38231",2184,"DCA",0,"Fri",9,"N724UW","ontime","On time",19
2000,"US",1956,"LGA",214,"38231",2186,"DCA",0,"Fri",9,"N738UW","ontime","On time",19
2100,"US",2052,"LGA",214,"38231",2188,"DCA",0,"Fri",9,"N750UW","ontime","On time",20
1720,"RU",1720,"EWR",169,"38231",3372,"BWI",0,"Fri",9,"N16963","ontime","On time",17
1455,"RU",1450,"EWR",169,"38231",2403,"BWI",0,"Fri",9,"N15926","ontime","On time",14
1030,"RU",1108,"EWR",169,"38231",2303,"BWI",0,"Fri",9,"N13989","delayed","On time",11
700,"RU",700,"EWR",169,"38231",2703,"BWI",0,"Fri",9,"N12552","ontime","On time",7
1730,"CO",1727,"EWR",199,"38231",814,"DCA",0,"Fri",9,"N70353","ontime","On time",17
1900,"CO",1858,"EWR",199,"38231",816,"DCA",0,"Fri",9,"N46625","ontime","On time",18
1300,"CO",1258,"EWR",199,"38231",808,"DCA",0,"Fri",9,"N14664","ontime","On time",12
735,"CO",732,"EWR",199,"38231",806,"DCA",0,"Fri",9,"N19621","ontime","On time",7
840,"DH",840,"EWR",213,"38231",7299,"IAD",0,"Fri",9,"N698BR","ontime","On time",8
1710,"DH",1707,"EWR",213,"38231",7302,"IAD",0,"Fri",9,"N652BR","ontime","On time",17
1245,"DH",1242,"EWR",213,"38231",7303,"IAD",0,"Fri",9,"N661BR","ontime","On time",12
2120,"DH",2121,"EWR",213,"38231",7304,"IAD",0,"Fri",9,"N646BR","ontime","On time",21
630,"DH",629,"EWR",213,"38231",7305,"IAD",0,"Fri",9,"N301UE","ontime","On time",6
1430,"DH",1423,"EWR",213,"38231",7307,"IAD",0,"Fri",9,"N312UE","ontime","On time",14
1630,"RU",1627,"EWR",199,"38231",2181,"DCA",0,"Fri",9,"N18556","ontime","On time",16
1525,"RU",1526,"EWR",199,"38231",2261,"DCA",0,"Fri",9,"N13955","ontime","On time",15
1359,"RU",1357,"EWR",199,"38231",2216,"DCA",0,"Fri",9,"N13989","ontime","On time",13
700,"RU",700,"EWR",213,"38231",2855,"IAD",0,"Fri",9,"N13550","delayed","On time",7
1300,"RU",1256,"EWR",213,"38231",2692,"IAD",0,"Fri",9,"N14505","ontime","On time",12
1900,"RU",1855,"EWR",213,"38231",2385,"IAD",0,"Fri",9,"N27152","ontime","On time",18
1500,"RU",1457,"EWR",213,"38231",2156,"IAD",0,"Fri",9,"N16151","ontime","On time",14
900,"RU",850,"EWR",199,"38231",2582,"DCA",0,"Fri",9,"N11565","ontime","On time",8
2100,"RU",2058,"EWR",199,"38231",2879,"DCA",0,"Fri",9,"N14907","ontime","On time",20
1700,"RU",1655,"EWR",213,"38231",2497,"IAD",0,"Fri",9,"N12900","ontime","On time",16
645,"RU",645,"EWR",199,"38231",2761,"DCA",0,"Fri",9,"N15985","ontime","On time",6
1455,"OH",1455,"JFK",184,"38261",5935,"BWI",0,"Sat",10,"N805CA","ontime","On time",14
1640,"DH",1638,"JFK",213,"38261",6155,"DCA",0,"Sat",10,"N424FJ","delayed","On time",16
1245,"DH",1243,"LGA",229,"38261",7208,"IAD",0,"Sat",10,"N627BR","ontime","On time",12
1715,"DH",1710,"LGA",229,"38261",7215,"IAD",0,"Sat",10,"N688BR","ontime","On time",17
2120,"DH",2130,"LGA",229,"38261",7684,"IAD",0,"Sat",10,"N692BR","ontime","On time",21
840,"DH",918,"JFK",228,"38261",7800,"IAD",0,"Sat",10,"N682BR","delayed","On time",9
1240,"DH",1303,"JFK",228,"38261",7806,"IAD",0,"Sat",10,"N313UE","delayed","On time",13
1645,"DH",1642,"JFK",228,"38261",7810,"IAD",0,"Sat",10,"N315UE","ontime","On time",16
1715,"DH",1708,"JFK",228,"38261",7812,"IAD",0,"Sat",10,"N321UE","ontime","On time",17
2120,"DH",2126,"JFK",228,"38261",7814,"IAD",0,"Sat",10,"N642BR","ontime","On time",21
1800,"DH",1800,"JFK",228,"38261",7818,"IAD",0,"Sat",10,"N307UE","ontime","On time",18
1455,"DL",1505,"JFK",213,"38261",746,"DCA",0,"Sat",10,"N906DE","delayed","On time",15
730,"DL",729,"LGA",214,"38261",1742,"DCA",0,"Sat",10,"N225DL","ontime","On time",7
830,"DL",832,"LGA",214,"38261",1744,"DCA",0,"Sat",10,"N241DL","ontime","On time",8
1030,"DL",1028,"LGA",214,"38261",1748,"DCA",0,"Sat",10,"N221DL","ontime","On time",10
1230,"DL",1230,"LGA",214,"38261",1752,"DCA",0,"Sat",10,"N241DL","ontime","On time",12
1430,"DL",1429,"LGA",214,"38261",1756,"DCA",0,"Sat",10,"N221DL","ontime","On time",14
1630,"DL",1624,"LGA",214,"38261",1760,"DCA",0,"Sat",10,"N241DL","ontime","On time",16
1830,"DL",1828,"LGA",214,"38261",1764,"DCA",0,"Sat",10,"N221DL","ontime","On time",18
2030,"DL",2031,"LGA",214,"38261",1768,"DCA",0,"Sat",10,"N241DL","ontime","On time",20
1530,"MQ",1529,"JFK",213,"38261",4752,"DCA",0,"Sat",10,"N841MQ","ontime","On time",15
600,"MQ",557,"JFK",213,"38261",4760,"DCA",0,"Sat",10,"N718MQ","delayed","On time",5
1830,"MQ",1826,"JFK",213,"38261",4784,"DCA",0,"Sat",10,"N709MQ","ontime","On time",18
900,"MQ",855,"LGA",214,"38261",4956,"DCA",0,"Sat",10,"N717MQ","ontime","On time",8
1300,"MQ",1309,"LGA",214,"38261",4964,"DCA",0,"Sat",10,"N715MQ","ontime","On time",13
850,"UA",850,"LGA",229,"38261",846,"IAD",0,"Sat",10,"N565UA","ontime","On time",8
700,"US",655,"LGA",214,"38261",2160,"DCA",0,"Sat",10,"N722UW","ontime","On time",6
900,"US",857,"LGA",214,"38261",2164,"DCA",0,"Sat",10,"N750UW","ontime","On time",8
1100,"US",1056,"LGA",214,"38261",2168,"DCA",0,"Sat",10,"N722UW","ontime","On time",10
1300,"US",1256,"LGA",214,"38261",2172,"DCA",0,"Sat",10,"N750UW","ontime","On time",12
1500,"US",1458,"LGA",214,"38261",2176,"DCA",0,"Sat",10,"N722UW","ontime","On time",14
1700,"US",1656,"LGA",214,"38261",2180,"DCA",0,"Sat",10,"N750UW","ontime","On time",16
1900,"US",1854,"LGA",214,"38261",2184,"DCA",0,"Sat",10,"N722UW","ontime","On time",18
1720,"RU",1723,"EWR",169,"38261",3372,"BWI",0,"Sat",10,"N13553","ontime","On time",17
1455,"RU",1450,"EWR",169,"38261",2229,"BWI",0,"Sat",10,"N14943","ontime","On time",14
700,"RU",657,"EWR",169,"38261",2703,"BWI",0,"Sat",10,"N10575","ontime","On time",6
1030,"RU",1030,"EWR",169,"38261",2303,"BWI",0,"Sat",10,"N13936","ontime","On time",10
1300,"CO",1254,"EWR",199,"38261",808,"DCA",0,"Sat",10,"N14660","ontime","On time",12
840,"DH",906,"EWR",213,"38261",7299,"IAD",0,"Sat",10,"N705BR","ontime","On time",9
1710,"DH",1703,"EWR",213,"38261",7302,"IAD",0,"Sat",10,"N658BR","ontime","On time",17
1245,"DH",1255,"EWR",213,"38261",7303,"IAD",0,"Sat",10,"N658BR","ontime","On time",12
2120,"DH",2114,"EWR",213,"38261",7304,"IAD",0,"Sat",10,"N625BR","ontime","On time",21
1700,"RU",1655,"EWR",213,"38261",2497,"IAD",0,"Sat",10,"N16149","ontime","On time",16
700,"RU",658,"EWR",213,"38261",2855,"IAD",0,"Sat",10,"N26545","ontime","On time",6
1600,"RU",1555,"EWR",199,"38261",2361,"DCA",0,"Sat",10,"N17560","ontime","On time",15
1500,"RU",1456,"EWR",213,"38261",2156,"IAD",0,"Sat",10,"N11113","ontime","On time",14
645,"RU",645,"EWR",199,"38261",2761,"DCA",0,"Sat",10,"N14943","ontime","On time",6
1730,"RU",1719,"EWR",199,"38261",2097,"DCA",0,"Sat",10,"N13903","ontime","On time",17
1359,"RU",1355,"EWR",199,"38261",2216,"DCA",0,"Sat",10,"N13553","ontime","On time",13
930,"RU",925,"EWR",199,"38261",2582,"DCA",0,"Sat",10,"N27152","ontime","On time",9
1455,"OH",1455,"JFK",184,"38292",5935,"BWI",0,"Sun",11,"N966CA","ontime","On time",14
1640,"DH",1634,"JFK",213,"38292",6155,"DCA",0,"Sun",11,"N415FJ","ontime","On time",16
1245,"DH",1304,"LGA",229,"38292",7208,"IAD",0,"Sun",11,"N684BR","ontime","On time",13
1455,"DH",1500,"LGA",229,"38292",7211,"IAD",0,"Sun",11,"N309UE","ontime","On time",15
1715,"DH",1712,"LGA",229,"38292",7215,"IAD",0,"Sun",11,"N706BR","ontime","On time",17
2120,"DH",2115,"LGA",229,"38292",7684,"IAD",0,"Sun",11,"N677BR","ontime","On time",21
840,"DH",840,"JFK",228,"38292",7800,"IAD",0,"Sun",11,"N692BR","ontime","On time",8
1240,"DH",1238,"JFK",228,"38292",7806,"IAD",0,"Sun",11,"N321UE","ontime","On time",12
1455,"DH",1533,"JFK",228,"38292",7808,"IAD",0,"Sun",11,"N316UE","delayed","On time",15
1645,"DH",1637,"JFK",228,"38292",7810,"IAD",0,"Sun",11,"N332UE","ontime","On time",16
1715,"DH",1714,"JFK",228,"38292",7812,"IAD",0,"Sun",11,"N329UE","ontime","On time",17
2120,"DH",2155,"JFK",228,"38292",7814,"IAD",0,"Sun",11,"N674BR","delayed","On time",21
1610,"DH",1627,"JFK",228,"38292",7816,"IAD",0,"Sun",11,"N330UE","ontime","On time",16
1455,"DL",1456,"JFK",213,"38292",746,"DCA",0,"Sun",11,"N970DL","delayed","On time",14
830,"DL",829,"LGA",214,"38292",1744,"DCA",0,"Sun",11,"N221DL","ontime","On time",8
1030,"DL",1028,"LGA",214,"38292",1748,"DCA",0,"Sun",11,"N242DL","ontime","On time",10
1130,"DL",1130,"LGA",214,"38292",1750,"DCA",0,"Sun",11,"N241DL","ontime","On time",11
1230,"DL",1231,"LGA",214,"38292",1752,"DCA",0,"Sun",11,"N221DL","ontime","On time",12
1330,"DL",1327,"LGA",214,"38292",1754,"DCA",0,"Sun",11,"N222DZ","ontime","On time",13
1430,"DL",1430,"LGA",214,"38292",1756,"DCA",0,"Sun",11,"N242DL","ontime","On time",14
1530,"DL",1529,"LGA",214,"38292",1758,"DCA",0,"Sun",11,"N241DL","ontime","On time",15
1630,"DL",1628,"LGA",214,"38292",1760,"DCA",0,"Sun",11,"N221DL","ontime","On time",16
1730,"DL",1732,"LGA",214,"38292",1762,"DCA",0,"Sun",11,"N222DZ","ontime","On time",17
1830,"DL",1842,"LGA",214,"38292",1764,"DCA",0,"Sun",11,"N242DL","ontime","On time",18
1930,"DL",1928,"LGA",214,"38292",1766,"DCA",0,"Sun",11,"N241DL","ontime","On time",19
2030,"DL",2032,"LGA",214,"38292",1768,"DCA",0,"Sun",11,"N221DL","ontime","On time",20
1530,"MQ",1525,"JFK",213,"38292",4752,"DCA",0,"Sun",11,"N801MQ","ontime","On time",15
600,"MQ",552,"JFK",213,"38292",4760,"DCA",0,"Sun",11,"N710MQ","ontime","On time",5
925,"MQ",915,"JFK",213,"38292",4771,"DCA",0,"Sun",11,"N704MQ","ontime","On time",9
1830,"MQ",2015,"JFK",213,"38292",4784,"DCA",0,"Sun",11,"N704MQ","delayed","On time",20
1300,"MQ",1255,"LGA",214,"38292",4964,"DCA",0,"Sun",11,"N709MQ","delayed","On time",12
1500,"MQ",1456,"LGA",214,"38292",4968,"DCA",0,"Sun",11,"N704MQ","ontime","On time",14
1700,"MQ",1652,"LGA",214,"38292",4972,"DCA",0,"Sun",11,"N737MQ","ontime","On time",16
1900,"MQ",1900,"LGA",214,"38292",4976,"DCA",0,"Sun",11,"N734MQ","ontime","On time",19
850,"UA",848,"LGA",229,"38292",846,"IAD",0,"Sun",11,"N588UA","ontime","On time",8
900,"US",858,"LGA",214,"38292",2164,"DCA",0,"Sun",11,"N763UW","ontime","On time",8
1000,"US",957,"LGA",214,"38292",2166,"DCA",0,"Sun",11,"N721UW","ontime","On time",9
1100,"US",1057,"LGA",214,"38292",2168,"DCA",0,"Sun",11,"N722UW","ontime","On time",10
1200,"US",1202,"LGA",214,"38292",2170,"DCA",0,"Sun",11,"N748UW","ontime","On time",12
1300,"US",1258,"LGA",214,"38292",2172,"DCA",0,"Sun",11,"N763UW","ontime","On time",12
1400,"US",1350,"LGA",214,"38292",2174,"DCA",0,"Sun",11,"N721UW","ontime","On time",13
1500,"US",1452,"LGA",214,"38292",2176,"DCA",0,"Sun",11,"N722UW","ontime","On time",14
1600,"US",1556,"LGA",214,"38292",2178,"DCA",0,"Sun",11,"N748UW","ontime","On time",15
1700,"US",1657,"LGA",214,"38292",2180,"DCA",0,"Sun",11,"N763UW","ontime","On time",16
1800,"US",1753,"LGA",214,"38292",2182,"DCA",0,"Sun",11,"N721UW","ontime","On time",17
1900,"US",1856,"LGA",214,"38292",2184,"DCA",0,"Sun",11,"N722UW","ontime","On time",18
2000,"US",2002,"LGA",214,"38292",2186,"DCA",0,"Sun",11,"N748UW","ontime","On time",20
2100,"US",2054,"LGA",214,"38292",2188,"DCA",0,"Sun",11,"N763UW","ontime","On time",20
1720,"RU",1736,"EWR",169,"38292",3372,"BWI",0,"Sun",11,"N12540","ontime","On time",17
1030,"RU",1029,"EWR",169,"38292",2303,"BWI",0,"Sun",11,"N13990","ontime","On time",10
1315,"RU",1310,"EWR",169,"38292",2703,"BWI",0,"Sun",11,"N12946","ontime","On time",13
1455,"RU",1450,"EWR",169,"38292",2403,"BWI",0,"Sun",11,"N10575","ontime","On time",14
1900,"CO",1851,"EWR",199,"38292",816,"DCA",0,"Sun",11,"N33608","ontime","On time",18
1300,"CO",1255,"EWR",199,"38292",1767,"DCA",0,"Sun",11,"N11656","ontime","On time",12
1630,"CO",1623,"EWR",199,"38292",810,"DCA",0,"Sun",11,"N19623","ontime","On time",16
840,"DH",835,"EWR",213,"38292",7299,"IAD",0,"Sun",11,"N654BR","ontime","On time",8
1710,"DH",1700,"EWR",213,"38292",7302,"IAD",0,"Sun",11,"N691BR","ontime","On time",17
1245,"DH",1241,"EWR",213,"38292",7303,"IAD",0,"Sun",11,"N691BR","ontime","On time",12
2120,"DH",2113,"EWR",213,"38292",7304,"IAD",0,"Sun",11,"N652BR","ontime","On time",21
1430,"DH",1531,"EWR",213,"38292",7307,"IAD",0,"Sun",11,"N307UE","delayed","On time",15
2130,"RU",2130,"EWR",199,"38292",2879,"DCA",0,"Sun",11,"N13123","ontime","On time",21
845,"RU",844,"EWR",213,"38292",2254,"IAD",0,"Sun",11,"N13975","ontime","On time",8
1700,"RU",1656,"EWR",213,"38292",2497,"IAD",0,"Sun",11,"N13969","ontime","On time",16
1730,"RU",1723,"EWR",199,"38292",2097,"DCA",0,"Sun",11,"N16976","ontime","On time",17
1359,"RU",1356,"EWR",199,"38292",2216,"DCA",0,"Sun",11,"N14993","ontime","On time",13
930,"RU",926,"EWR",199,"38292",2582,"DCA",0,"Sun",11,"N13968","ontime","On time",9
1500,"RU",1501,"EWR",213,"38292",2156,"IAD",0,"Sun",11,"N17115","ontime","On time",15
1900,"RU",1856,"EWR",213,"38292",2385,"IAD",0,"Sun",11,"N17115","ontime","On time",18
1455,"OH",1450,"JFK",184,"38322",5935,"BWI",0,"Mon",12,"N812CA","ontime","On time",14
1640,"DH",1640,"JFK",213,"38322",6155,"DCA",0,"Mon",12,"N418FJ","ontime","On time",16
1245,"DH",1244,"LGA",229,"38322",7208,"IAD",0,"Mon",12,"N320UE","ontime","On time",12
1455,"DH",1442,"LGA",229,"38322",7211,"IAD",0,"Mon",12,"N676BR","ontime","On time",14
1715,"DH",1709,"LGA",229,"38322",7215,"IAD",0,"Mon",12,"N645BR","ontime","On time",17
2120,"DH",2112,"LGA",229,"38322",7684,"IAD",0,"Mon",12,"N702BR","ontime","On time",21
640,"DH",641,"LGA",229,"38322",7790,"IAD",0,"Mon",12,"N676BR","delayed","On time",6
1040,"DH",1037,"LGA",229,"38322",7792,"IAD",0,"Mon",12,"N676BR","ontime","On time",10
840,"DH",833,"JFK",228,"38322",7800,"IAD",0,"Mon",12,"N677BR","ontime","On time",8
1240,"DH",1240,"JFK",228,"38322",7806,"IAD",0,"Mon",12,"N309UE","ontime","On time",12
1455,"DH",1535,"JFK",228,"38322",7808,"IAD",0,"Mon",12,"N321UE","delayed","On time",15
1645,"DH",1638,"JFK",228,"38322",7810,"IAD",0,"Mon",12,"N315UE","ontime","On time",16
1715,"DH",1710,"JFK",228,"38322",7812,"IAD",0,"Mon",12,"N327UE","ontime","On time",17
2120,"DH",2112,"JFK",228,"38322",7814,"IAD",0,"Mon",12,"N659BR","ontime","On time",21
1455,"DL",1451,"JFK",213,"38322",746,"DCA",0,"Mon",12,"N974DL","ontime","On time",14
630,"DL",630,"LGA",214,"38322",1740,"DCA",0,"Mon",12,"N242DL","ontime","On time",6
730,"DL",733,"LGA",214,"38322",1742,"DCA",0,"Mon",12,"N222DZ","ontime","On time",7
830,"DL",830,"LGA",214,"38322",1744,"DCA",0,"Mon",12,"N241DL","ontime","On time",8
930,"DL",1004,"LGA",214,"38322",1746,"DCA",0,"Mon",12,"N221DL","delayed","On time",10
1030,"DL",1028,"LGA",214,"38322",1748,"DCA",0,"Mon",12,"N223DZ","ontime","On time",10
1130,"DL",1131,"LGA",214,"38322",1750,"DCA",0,"Mon",12,"N222DZ","ontime","On time",11
1230,"DL",1230,"LGA",214,"38322",1752,"DCA",0,"Mon",12,"N241DL","ontime","On time",12
1330,"DL",1328,"LGA",214,"38322",1754,"DCA",0,"Mon",12,"N221DL","ontime","On time",13
1430,"DL",1432,"LGA",214,"38322",1756,"DCA",0,"Mon",12,"N223DZ","ontime","On time",14
1530,"DL",1529,"LGA",214,"38322",1758,"DCA",0,"Mon",12,"N222DZ","ontime","On time",15
1630,"DL",1630,"LGA",214,"38322",1760,"DCA",0,"Mon",12,"N241DL","ontime","On time",16
1730,"DL",1728,"LGA",214,"38322",1762,"DCA",0,"Mon",12,"N221DL","ontime","On time",17
1830,"DL",1830,"LGA",214,"38322",1764,"DCA",0,"Mon",12,"N223DZ","ontime","On time",18
1930,"DL",1929,"LGA",214,"38322",1766,"DCA",0,"Mon",12,"N222DZ","ontime","On time",19
2030,"DL",2029,"LGA",214,"38322",1768,"DCA",0,"Mon",12,"N224DA","ontime","On time",20
1530,"MQ",1527,"JFK",213,"38322",4752,"DCA",0,"Mon",12,"N705MQ","ontime","On time",15
600,"MQ",553,"JFK",213,"38322",4760,"DCA",0,"Mon",12,"N717MQ","ontime","On time",5
1830,"MQ",1820,"JFK",213,"38322",4784,"DCA",0,"Mon",12,"N704MQ","ontime","On time",18
700,"MQ",654,"LGA",214,"38322",4952,"DCA",0,"Mon",12,"N801MQ","delayed","On time",6
800,"MQ",756,"LGA",214,"38322",4954,"DCA",0,"Mon",12,"N713MQ","ontime","On time",7
900,"MQ",855,"LGA",214,"38322",4956,"DCA",0,"Mon",12,"N705MQ","ontime","On time",8
1100,"MQ",1053,"LGA",214,"38322",4960,"DCA",0,"Mon",12,"N725MQ","ontime","On time",10
1300,"MQ",1258,"LGA",214,"38322",4964,"DCA",0,"Mon",12,"N711MQ","ontime","On time",12
1500,"MQ",1450,"LGA",214,"38322",4968,"DCA",0,"Mon",12,"N704MQ","ontime","On time",14
1600,"MQ",1552,"LGA",214,"38322",4970,"DCA",0,"Mon",12,"N725MQ","ontime","On time",15
1700,"MQ",1647,"LGA",214,"38322",4972,"DCA",0,"Mon",12,"N726MQ","ontime","On time",16
1900,"MQ",1903,"LGA",214,"38322",4976,"DCA",0,"Mon",12,"N739MQ","ontime","On time",19
850,"UA",848,"LGA",229,"38322",846,"IAD",0,"Mon",12,"N562UA","ontime","On time",8
630,"US",628,"LGA",214,"38322",1479,"DCA",0,"Mon",12,"N721UW","ontime","On time",6
700,"US",657,"LGA",214,"38322",2160,"DCA",0,"Mon",12,"N762UW","delayed","On time",6
800,"US",758,"LGA",214,"38322",2162,"DCA",0,"Mon",12,"N722UW","ontime","On time",7
900,"US",857,"LGA",214,"38322",2164,"DCA",0,"Mon",12,"N708UW","ontime","On time",8
1000,"US",955,"LGA",214,"38322",2166,"DCA",0,"Mon",12,"N724UW","ontime","On time",9
1100,"US",1058,"LGA",214,"38322",2168,"DCA",0,"Mon",12,"N762UW","delayed","On time",10
1200,"US",1156,"LGA",214,"38322",2170,"DCA",0,"Mon",12,"N722UW","ontime","On time",11
1300,"US",1256,"LGA",214,"38322",2172,"DCA",0,"Mon",12,"N708UW","ontime","On time",12
1400,"US",1358,"LGA",214,"38322",2174,"DCA",0,"Mon",12,"N724UW","ontime","On time",13
1500,"US",1458,"LGA",214,"38322",2176,"DCA",0,"Mon",12,"N762UW","ontime","On time",14
1600,"US",1559,"LGA",214,"38322",2178,"DCA",0,"Mon",12,"N722UW","ontime","On time",15
1700,"US",1656,"LGA",214,"38322",2180,"DCA",0,"Mon",12,"N708UW","delayed","On time",16
1800,"US",1756,"LGA",214,"38322",2182,"DCA",0,"Mon",12,"N724UW","ontime","On time",17
1900,"US",1858,"LGA",214,"38322",2184,"DCA",0,"Mon",12,"N762UW","ontime","On time",18
2000,"US",1958,"LGA",214,"38322",2186,"DCA",0,"Mon",12,"N722UW","ontime","On time",19
2100,"US",2056,"LGA",214,"38322",2188,"DCA",0,"Mon",12,"N708UW","ontime","On time",20
700,"RU",656,"EWR",169,"38322",2703,"BWI",0,"Mon",12,"N16976","ontime","On time",6
1455,"RU",1509,"EWR",169,"38322",2403,"BWI",0,"Mon",12,"N15926","delayed","On time",15
1720,"RU",1720,"EWR",169,"38322",3372,"BWI",0,"Mon",12,"N12552","ontime","On time",17
1030,"RU",1040,"EWR",169,"38322",2303,"BWI",0,"Mon",12,"N12540","ontime","On time",10
735,"CO",729,"EWR",199,"38322",806,"DCA",0,"Mon",12,"N32626","ontime","On time",7
1300,"CO",1257,"EWR",199,"38322",808,"DCA",0,"Mon",12,"N23657","ontime","On time",12
1730,"CO",1732,"EWR",199,"38322",814,"DCA",0,"Mon",12,"N61304","delayed","On time",17
1900,"CO",1852,"EWR",199,"38322",816,"DCA",0,"Mon",12,"N15659","ontime","On time",18
840,"DH",831,"EWR",213,"38322",7299,"IAD",0,"Mon",12,"N664BR","ontime","On time",8
1710,"DH",1710,"EWR",213,"38322",7302,"IAD",0,"Mon",12,"N695BR","ontime","On time",17
1245,"DH",1359,"EWR",213,"38322",7303,"IAD",0,"Mon",12,"N695BR","delayed","On time",13
2120,"DH",2112,"EWR",213,"38322",7304,"IAD",0,"Mon",12,"N333UE","ontime","On time",21
630,"DH",622,"EWR",213,"38322",7305,"IAD",0,"Mon",12,"N327UE","ontime","On time",6
1430,"DH",1421,"EWR",213,"38322",7307,"IAD",0,"Mon",12,"N332UE","ontime","On time",14
